[2022-03-23 13:44:21,270] - test_FctLedger.py[17] - INFO;  步骤2 ==>>  进入签发功能-统计查询-供应商融资查询
[2022-03-23 13:44:21,270] - test_FctLedger.py[22] - INFO;  步骤3 ==>>  输入供应商名称-点击查询
[2022-03-23 13:44:21,270] - test_FctLedger.py[42] - INFO;  *************** 开始执行用例 ***************
[2022-03-23 13:44:21,676] - test_FctLedger.py[51] - INFO;  code ==>> 期望结果：10000， 实际结果：10000
[2022-03-23 13:44:21,676] - test_FctLedger.py[52] - INFO;  *************** 结束执行用例 ***************
[2022-03-23 13:44:21,683] - test_FctLedger.py[12] - INFO;  步骤1 ==>> 在企业端登录核心企业账号
[2022-03-23 13:44:21,683] - test_FctLedger.py[17] - INFO;  步骤2 ==>>  进入签发功能-统计查询-供应商融资查询
[2022-03-23 13:44:21,684] - test_FctLedger.py[22] - INFO;  步骤3 ==>>  输入供应商名称-点击查询
[2022-03-23 13:44:21,684] - test_FctLedger.py[42] - INFO;  *************** 开始执行用例 ***************
[2022-03-23 13:44:22,131] - test_FctLedger.py[51] - INFO;  code ==>> 期望结果：10000， 实际结果：10000
[2022-03-23 13:44:22,131] - test_FctLedger.py[52] - INFO;  *************** 结束执行用例 ***************
[2022-03-23 13:44:22,134] - test_FctLedger.py[12] - INFO;  步骤1 ==>> 在企业端登录核心企业账号
[2022-03-23 13:44:22,134] - test_FctLedger.py[17] - INFO;  步骤2 ==>>  进入签发功能-统计查询-供应商融资查询
[2022-03-23 13:44:22,134] - test_FctLedger.py[22] - INFO;  步骤3 ==>>  输入供应商名称-点击查询
[2022-03-23 13:44:22,134] - test_FctLedger.py[42] - INFO;  *************** 开始执行用例 ***************
[2022-03-23 13:44:22,460] - test_FctLedger.py[51] - INFO;  code ==>> 期望结果：10000， 实际结果：10000
[2022-03-23 13:44:22,460] - test_FctLedger.py[52] - INFO;  *************** 结束执行用例 ***************
